ra,dec,gmag
219.7858664413507,-60.84707902793221,16.029509
219.78431942226922,-60.84427318957821,19.384825
219.79049111256916,-60.8445402485322,20.361908
219.81290307419079,-60.858026470636865,20.60658
219.81228913467012,-60.85742568549214,19.486
219.80934308581746,-60.85437998470361,20.041012
219.79506138918038,-60.850762139902386,19.057444
219.79153808668067,-60.848549606668634,19.094564
219.79720801674674,-60.84941021946035,20.840681
219.79620575853704,-60.84584310987742,19.19718
219.80326893955774,-60.84582346990569,19.499166
219.80741392244883,-60.84647688954861,20.745459
219.78969616100127,-60.84689256388319,17.184488
219.80480376151982,-60.84491979135569,20.894503
219.79253531588685,-60.84854002951248,21.04925
219.79328614700265,-60.85212503965886,20.107162
219.79227014376184,-60.84526372075333,17.468573
219.80403378822476,-60.84915796810226,21.010311
219.81022961298189,-60.85684564097091,20.965042
219.8129058201249,-60.85017449345333,19.159628
219.79211873623237,-60.845576831319974,17.77213
219.80614760742938,-60.847338465743654,21.104761
219.8103260706232,-60.84898893376244,20.774294
219.80011641328866,-60.84791830454827,15.377454
219.78511611972127,-60.84493793021843,20.084171
219.78995514002906,-60.844536355116325,19.712677
219.87400333883014,-60.85764559663733,18.96199
219.88509730730462,-60.84960870355722,18.124424
219.8782724738562,-60.85620146104081,15.753335
219.87895751402192,-60.853536363163975,18.859879
219.8883460085261,-60.85251177588356,19.373808
219.8795502219218,-60.85364563055695,19.63572
219.8789570662136,-60.85516379308041,20.943731
219.88558764512442,-60.850537636215506,20.068626
219.88113051720728,-60.85493979324029,20.806627
219.8791580141494,-60.85672080260322,20.786692
219.88885324811065,-60.84892992613974,18.453539
219.88015032291685,-60.85013976790461,18.015484
219.87418761515173,-60.852212417649476,19.324936
219.86951419462002,-60.855041887947195,20.274101
219.87144868051277,-60.85117662582119,20.159252
219.8763817597335,-60.85268078376431,20.22252
219.86232260002154,-60.85025291858038,18.781815
219.86441619813422,-60.84974220289361,18.628582
219.88594756349346,-60.852570899614214,19.518692
219.8715423960166,-60.85772160006765,15.832665
219.86315057009753,-60.85095079343127,16.556696
219.86846199884883,-60.853626331774485,20.438183
219.87063098359246,-60.855114862162374,20.119453
219.86936537292283,-60.85449401241342,20.087454
219.8755873920172,-60.8497299802423,19.020452
219.87025668924437,-60.84940830554108,19.334635
219.87242644950007,-60.84947413231668,19.609528
219.90580203977183,-60.83873976539616,17.96512
219.8992452833994,-60.84166313028763,18.491167
219.9055902020147,-60.83679365042698,20.18516
219.89868316010498,-60.83257040503985,18.353981
219.88559114467128,-60.83112988941768,17.51667
219.90213734370153,-60.835534557966334,18.53974
219.87762699486237,-60.82838344136344,15.401825
219.88014128074033,-60.82522724754039,18.038551
219.87657242022152,-60.82651809710818,16.47771
219.90854360812995,-60.834984714397976,20.428917
219.90254096124144,-60.833410209760274,18.16482
219.86793471497816,-60.84333698959463,16.484251
219.8696892739986,-60.840882683522565,16.479784
219.88009392384603,-60.844556687843706,17.947014
219.8741744077171,-60.84722331837075,17.022839
219.858806544271,-60.84493980793802,16.389826
219.86299407495918,-60.84143712488018,15.270286
219.85346409428087,-60.848323705554286,20.178589
219.85094430722214,-60.83379095782909,17.422411
219.85389584291164,-60.84366935724599,17.845278
219.84308257936138,-60.833549474470495,15.917173
219.83839999718782,-60.83388208656048,16.729172
219.83622711458818,-60.83544222862132,18.285412
219.82492256223665,-60.840151816217066,20.318123
219.8323618342958,-60.84048679121206,17.415787
219.83745021782627,-60.84428636728528,20.28592
219.83468695391537,-60.842409056898056,19.327095
219.83035488392187,-60.84229209989689,16.131247
219.8386516335014,-60.84082584615955,18.800991
219.83794406065968,-60.839523087399485,14.486091
219.82306059196117,-60.8411645742445,20.809431
219.8225804186741,-60.84115214846195,20.22927
219.8801630191994,-60.81576757966231,20.556349
219.8829190938411,-60.81782110305492,20.900333
219.88546992462798,-60.81860169797436,18.29246
219.90072494698668,-60.83841308172723,17.19576
219.9030431230816,-60.84129530176385,18.189463
219.87606149846036,-60.84584417075431,18.09974
219.87185644212678,-60.84284610429591,18.357742
219.86390404029888,-60.83926538254956,18.106464
219.8725792884019,-60.84573563740785,18.40845
219.87343823896305,-60.84542098556488,18.974228
219.85424056097543,-60.847534336343905,20.083248
219.85113322579573,-60.83159175166849,15.127513
219.84655560133507,-60.837160603372304,17.492828
219.84078077765201,-60.83407555722072,18.384443
219.88909718173196,-60.826144921881536,17.908297
219.88784169575962,-60.83086965264639,18.127546
219.87550657825707,-60.82896984129254,14.614861
219.86978427125797,-60.824625705748375,15.070124
219.88159647424163,-60.82461572082172,17.343979
219.88029089972096,-60.817191704602116,17.132977
219.88681763987827,-60.81795971444638,20.047794
219.84109627124968,-60.847745918754306,19.942015
219.83388474036727,-60.837631254071496,17.676983
219.82808483006883,-60.839796409527445,20.450489
219.82775979010927,-60.838146192624535,15.558931
219.90444056732642,-60.81801620949751,19.861969
219.904531855464,-60.82071117627351,20.846327
219.89838223278826,-60.815676035284014,18.153845
219.90527684801623,-60.82178526474971,15.297225
219.8981490043909,-60.82407919781157,17.94197
219.90433254225854,-60.8250429457396,18.374348
219.90380490992442,-60.8160124672791,20.538548
219.89970106377626,-60.81989929185181,19.336927
219.90503972517914,-60.81712535486862,21.240564
219.9074302858985,-60.828693377329245,20.32301
219.90268102728905,-60.827396486190224,20.338982
219.90078506164312,-60.81294215064469,19.944504
219.90060872530196,-60.81234731603161,14.56702
219.89004607593102,-60.8151873960595,20.310795
219.90244956556126,-60.815332772575005,17.290941
219.89237250836786,-60.81333964191465,19.449593
219.88465266414224,-60.81509867457958,20.861822
219.88513166655295,-60.81236169268788,20.909035
219.88997608316473,-60.8135796707155,19.645054
219.89884368385543,-60.81934743202087,20.038054
219.90061326445718,-60.81800874577069,20.715519
219.89980979712763,-60.82207934267091,18.382822
219.89017834326677,-60.81333378181121,18.751322
219.89337987273137,-60.81900358444823,18.544815
219.88671308238344,-60.81154118002627,20.162106
219.89335517844222,-60.813653141548066,16.21939
219.89108172833005,-60.81715022740386,19.746704
219.78820199679308,-60.84173346117217,19.555042
219.79489911648014,-60.839945533228544,19.71099
219.79535689042416,-60.839265778969576,19.500902
219.79196030824926,-60.840257824560446,15.69003
219.79269757889912,-60.84285917738476,16.889393
219.8157364976811,-60.82807541902171,20.499762
219.81980453803234,-60.827030301131515,20.56891
219.8068906233895,-60.83780701901059,18.895895
219.8138513729359,-60.831830345079695,19.976295
219.80257935724305,-60.837235701226795,19.975346
219.80602237663882,-60.8365413238937,17.388958
219.8125403159917,-60.83185208580522,18.293653
219.7928059335529,-60.83580451855451,20.712143
219.80902577981695,-60.829987473226225,19.216368
219.78718275767713,-60.83849879706761,19.27035
219.78024065060114,-60.83625897521043,18.201384
219.7786500908304,-60.836183672748625,17.095879
219.79284345529328,-60.83394407667229,18.802189
219.77791821767696,-60.83432424581877,17.479855
219.77906407381928,-60.83026036830035,17.810005
219.77623776058584,-60.829236800693955,20.14387
219.78274425731786,-60.825868102093224,18.979195
