ra,dec,mag
219.94720456118026,-60.85507161675635,20.50613
219.9536633334441,-60.854634823073596,20.142126
219.94911126016655,-60.85596296549858,14.665359
219.9535440855368,-60.85331519484976,19.610334
219.95441523171422,-60.85232906273507,21.095636
219.9443308080337,-60.80817442047212,19.090765
219.90609178929543,-60.862068219922925,15.13334
219.9077327465423,-60.86165798115862,19.895079
219.91324872353042,-60.86012368446166,20.383184
219.9063206956405,-60.85807690830774,18.144545
219.9061450501517,-60.85672270817014,19.745459
219.91377048194704,-60.854465162305,21.003057
219.9244383626606,-60.85807172100188,19.5133
219.90907437266972,-60.86064549104586,19.85983
219.90815746084763,-60.86295291423627,19.18733
219.91778736614086,-60.86096138268403,20.529081
219.90311821000378,-60.85629469387884,16.719477
219.90756845644233,-60.8520916857629,19.234732
219.90787451023135,-60.84872785536453,18.522663
219.89625839390231,-60.85323358640041,21.069784
219.90246276220793,-60.85684785590211,21.227531
219.8857298170512,-60.85214757945823,19.865814
219.89247382287877,-60.86576415434746,20.581282
219.90333488300413,-60.86424389216867,15.874351
219.90521813212092,-60.86572679443857,20.404518
219.8959527513458,-60.858383461460775,20.315586
219.8972323239184,-60.86123761373187,19.924065
219.89311522348638,-60.858842325146426,20.554438
219.89515607132742,-60.86031830090535,20.720154
219.8858352354503,-60.85711347911749,20.679838
219.87860787571685,-60.86075886752769,21.109945
219.88386399808726,-60.8551917870868,19.805069
219.87395449140078,-60.84811257316503,17.660261
219.8774053705416,-60.850871663063685,20.30143
219.86797157670298,-60.85587069161288,20.531048
219.8760819304329,-60.852385695402084,18.256205
219.87687996810303,-60.84714198993002,20.01909
219.8717320153672,-60.849154666030955,18.150408
219.85105145313813,-60.82941981639671,18.133837
219.8543451239876,-60.842746809913244,16.574312
219.84426177453517,-60.84313742201884,17.329676
219.84618723714885,-60.84221855017115,17.252913
219.84650018984155,-60.83820721882322,17.936066
219.84804881472684,-60.822893043626976,14.659272
219.87852438964114,-60.83266614463654,15.347593
219.85123532930368,-60.81514140761564,16.421583
219.8480900339907,-60.81742993094326,17.478598
219.84565405842747,-60.82276536305355,17.203178
219.92290324172959,-60.85067232124396,16.387009
219.91213955576302,-60.84660821827926,15.500833
219.91445413520043,-60.84336144704322,20.71559
219.91110578336674,-60.84448374849847,20.285034
219.90416885757662,-60.8366757536461,20.252535
219.92747565874066,-60.846241738392045,18.793997
219.94916285575152,-60.8480722247607,14.783204
219.94425972116986,-60.840241174403225,17.432209
219.93864024899784,-60.8393749354981,20.911505
219.93789361539714,-60.84200221402668,18.178146
219.93768943333296,-60.838363080340265,20.35929
219.93456006212298,-60.84532467399537,21.01486
219.93785252298076,-60.85306206516501,17.644566
219.9324676816845,-60.84869951336113,19.561226
219.94217543526793,-60.84039737478797,16.662645
219.94030403312553,-60.83795507692696,20.142916
219.937192049354,-60.842384120037295,20.06316
219.96083577787948,-60.84081423648057,18.792078
219.9594316248477,-60.840198615800375,18.95868
219.9470738053426,-60.83698970319032,20.047676
219.96320634892584,-60.83062834679313,18.534779
219.94389720312188,-60.834089281747225,20.734352
219.94621129062475,-60.836336153955855,20.041365
219.94790095163657,-60.83327096596846,21.028807
219.9606216561261,-60.82749159523137,16.251339
219.96079396778077,-60.825567189293764,19.152538
219.9574169469138,-60.833057739577875,18.020052
219.94604069182697,-60.837661892619,16.617008
219.9584550467906,-60.83946118712747,16.96141
219.92052391494832,-60.84668438400692,18.656445
219.91978635627467,-60.845996071853754,21.081326
219.9138533064291,-60.83309069290561,15.110233
219.92283957869307,-60.843083425417554,19.772491
219.92847720240988,-60.841444943178686,
219.91446899808153,-60.83176325489282,19.075928
219.91937660040134,-60.83336824053893,18.875431
219.92496557744323,-60.834313630111595,16.980053
219.92557788334292,-60.83440480669911,19.447895
219.92247995059063,-60.83200689554046,19.692053
219.91846663234753,-60.83135212459682,19.395878
219.92972694318811,-60.83019511448489,16.06595
219.92197157420642,-60.82631853488587,20.350864
219.9177853008573,-60.836049047551995,20.705648
219.91568497348555,-60.83475044433994,
219.91327710949562,-60.83492995842338,20.392218
219.91594861657472,-60.83369974028486,19.94123
219.95220640802737,-60.82372607746911,18.426805
219.94526214652424,-60.81489103097323,19.702219
219.93879743918677,-60.83178168838288,19.739534
219.94447536069805,-60.827178235070825,18.79599
219.9377494382865,-60.82582077505569,19.857082
219.94078872651073,-60.82497162886943,18.922071
219.93639160623988,-60.820535720258654,20.404032
219.93894799070756,-60.82212227764393,20.771126
219.94357121486868,-60.824298067269794,20.33335
219.94409804471977,-60.81288965407542,20.471424
219.94144733058587,-60.817868794235366,20.700983
219.9546952819654,-60.82194687339844,20.582253
219.94991605553832,-60.8246693756819,20.19609
219.94359387440548,-60.83193219179092,20.475378
219.93570869938958,-60.81951648425289,17.46296
219.9382805156899,-60.82118740419879,15.991485
219.94680720085046,-60.815599233845035,18.589817
219.9397842447185,-60.81706406721666,16.471046
219.94622410073728,-60.82937275607137,21.002531
219.92239348615087,-60.824247336963154,17.933758
219.90739142119176,-60.83080951231772,20.122007
219.90189165135337,-60.832662654212065,16.873463
219.9187910349101,-60.82577450635726,20.961466
219.9241732630477,-60.82441811264092,16.84912
219.9273533071577,-60.820159061260156,20.280586
219.9362220610922,-60.81643498748385,19.349552
219.96217997582386,-60.81757494849929,20.162403
219.95860166616416,-60.81458156113781,19.964602
219.95738840259622,-60.81991496644697,21.01033
219.95758640048368,-60.8164230423003,17.831007
219.9543996003532,-60.81325265344497,18.415785
219.95116072056135,-60.816375151410135,20.868305
219.957261752898,-60.813567735800476,19.950602
219.94133785847671,-60.80690368793791,16.977594
219.94320985758884,-60.80652150292804,19.590668
219.93222151036997,-60.85759777730971,18.094826
219.94192201200173,-60.85364101906123,19.369318
219.93708797786985,-60.85542169930266,21.146315
219.89517944468216,-60.82550990074998,17.453299
219.90540266210652,-60.81572340140146,19.012356
219.91125240617308,-60.825394374152935,20.029959
219.8998083795694,-60.82694123985013,19.803812
219.93166922731245,-60.807175989781356,19.763575
219.93088093454253,-60.80498017454524,18.171318
219.9190051046577,-60.81883745599004,19.7414
219.9161345427884,-60.81723707046408,20.167252
219.9258785787207,-60.81323200211197,20.277039
219.92910466736694,-60.81628882942752,20.657495
219.92209703866547,-60.81134727295292,19.834105
219.92121641109375,-60.80853726959525,19.194069
219.91495069411704,-60.809989312939194,20.454945
219.91432894741774,-60.811168221897134,20.566402
219.89681897307113,-60.80580540372325,19.224022
219.88521385108118,-60.810323464878735,19.731333
219.90270397546195,-60.814254756017604,20.72296
219.89726531793406,-60.81704651564067,20.556631
219.90427044608748,-60.813639334812656,20.63567
219.90173289147336,-60.81306283841297,19.272799
219.887719096598,-60.8223140570217,19.29536
